participantId,valid,parsed,errorMessage,Can not decode value starting with character '^',Values must be separated by a comma
671bdd06525adeea062a1d73,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1'}, 'dependencies': {'d3-hierarchy': '^3.1.2', 'd3-interpolate': '^3.0.1', 'd3-path': '^3.1.0', 'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
6818ca1523ece90f671e3601,False,,Values must be separated by a comma,0.0,1.0
6680d2279263349cc005956a,False,,Values must be separated by a comma,0.0,1.0
6081728972120aa7f9685791,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1'}, 'dependencies': {'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2', 'd3-hierarchy': '^3.1.2', 'd3-interpolate': '^3.0.1', 'd3-path': '^3.1.0'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
675aaf0eb1b401136f37c475,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1'}, 'dependencies': {'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2', 'd3-hierarchy': '^3.1.2', 'd3-interpolate': '^3.0.1', 'd3-path': '^3.1.0'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
67d13a1ec91ae2216896de44,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1'}, 'dependencies': {'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2', 'd3-hierarchy': '^3.1.2', 'd3-interpolate': '^3.0.1', 'd3-path': '^3.1.0'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
68138e7f96395f4c5f3a0a87,False,,Values must be separated by a comma,0.0,1.0
67f4ea448eb6a2b293c1f2fc,False,,Can not decode value starting with character '^',1.0,0.0
664e413a5f3eb7f99d90e15b,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1', 'd3-hierachy': '^3.1.2', 'd3-interpolate': '^3.0.1', 'd3-path': '^3.1.0'}, 'dependencies': {'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
65fb236a5a78fcf672df7469,False,,Values must be separated by a comma,0.0,1.0
67176f0792ed8c4064f61a2c,False,,Values must be separated by a comma,0.0,1.0
5795af044a84da00014c5df1,True,"{'name': 'vega-lite', 'author': 'Dominik Moritz, Kanit Wongsuphasawat, Arvind Satyanarayan, Jeffrey Heer', 'version': '5.23.0', 'collaborators': ['Kanit Wongsuphasawat', 'Dominik Moritz', 'Arvind Satyanarayan', 'Jeffrey Heer'], 'homepage': 'ega.github.io/vega-lite/', 'description': 'Vega-Lite is a concise high-level language for interactive visualization.', 'keywords': ['vega', 'chart', 'visualization'], 'main': 'build/vega-lite.js', 'unpkg': 'build/vega-lite.min.js', 'jsdelivr': 'build/vega-lite.min.js', 'module': 'build/src/index', 'types': 'build/src/index.d.ts', 'bin': {'vl2pdf': './bin/vl2pdf', 'vl2png': './bin/vl2png', 'vl2svg': './bin/vl2svg', 'vl2vg': './bin/vl2vg'}, 'files': ['bin', 'build', 'src', 'vega-lite*', 'tsconfig.json'], 'scripts': {'changelog': 'conventional-changelog -p angular -r', 'prebuild': 'yarn clean:build', 'build': 'yarn build:only', 'data': 'rsync -r node_modules/vega-datasets/data/* site/data', 'build-editor-preview': 'scripts/build-editor-preview.sh', 'schema': 'mkdir -p build && ts-json-schema-generator -f tsconfig.json -p src/index.ts -t TopLevelSpec --no-type-check --no-ref-encode > build/vega-lite-schema.json && yarn renameschema && cp build/vega-lite-schema.json site/_data/', 'renameschema': 'scripts/rename-schema.sh', 'presite': 'yarn data && yarn schema && yarn build:site && yarn build:versions && scripts/create-example-pages.sh', 'site': 'yarn site:only', 'format': 'eslint . --fix && yarn prettierbase --write', 'lint': 'eslint . && yarn prettierbase --check', 'test': 'yarn jest test/ && yarn lint && yarn schema && yarn jest examples/ && yarn', 'release': 'release-it'}, 'repository': {'type': 'git', 'url': 'github.com/vega/vega-lite.git'}, 'license': 'BSD-3-Clause', 'bugs': {'url': 'github.com/vega/vega-lite/issues'}, 'devDependencies': {'ajv': '^8.17.1', 'ajv-formats': '^3.0.1', 'cheerio': '^1.0.0', 'conventional-changelog-cli': '^5.0.0', 'd3': '^7.9.0', 'del-cli': '^6.0.0', 'eslint': '^8.57.0', 'eslint-config-prettier': '^9.1.0', 'eslint-plugin-jest': '^28.11.0', 'eslint-plugin-prettier': '^5.2.1', 'fast-json-stable-stringify': '~2.1.0', 'highlight.js': '^11.11.1', 'jest': '^29.7.0', 'jest-dev-server': '^11.0.0', 'mkdirp': '^3.0.1', 'pako': '^2.1.0', 'prettier': '^3.4.2', 'puppeteer': '^15.0.0', 'release-it': '18.1.2', 'rollup': '^4.32.1', 'rollup-plugin-bundle-size': '^1.0.3', 'serve': '^14.2.4', 'terser': '^5.37.0', 'ts-jest': '^29.2.5', 'ts-json-schema-generator': '^2.3.0', 'typescript': '~5.7.3', 'vega-cli': '^5.31.0', 'vega-datasets': '^2.11.0', 'vega-embed': '^6.29.0', 'vega-tooltip': '^0.35.2', 'yaml-front-matter': '^4.1.1'}, 'dependencies': {'d3-interpolate': '^3.0.1', 'd3-path': '^3.1.0', 'json-stringify-pretty-compact': '~4.0.0', 'tslib': '~2.8.1', 'vega-event-selector': '~3.0.1', 'vega-expression': '~5.1.2', 'vega-util': '~1.17.3', 'yargs': '~17.7.2'}, 'peerDependencies': {'vega': '^5.31.0'}, 'engines': {'node': '>=18'}, 'packageManager': 'yarn@1.22.22'}",,,
